card,parent,choice_with,skill,skill_amount,power,count,item,item_amount,req_1,req_1_type,req_1_amount,req_2,req_2_type,req_2_amount,req_3,req_3_type,req_3_amount
dream?,,,sleeping,5,,3,,,,,,,,,,,
sleep,dream?,,sleeping,10,,1000,,,,,,,,,,,
enter tavern,dream?,,movement,5,,1,,,,,,,,,,,
farm carrots,dream?,,farming,3,,10,carrots,2,,,,,,,,,
fight straw dummy,dream?,,combat,1,1,12,,,,,,,,,,,
pet cat,dream?,,animal handling,2,,5,,,,,,,,,,,
fight forest guardian,dream?,,combat,5,10,1,wood,1,power,power,20,,,,,,
enter forest,dream?,,movement,10,,1,,,fight forest guardian,card,1,,,,,,
help tavern keeper,enter tavern,,speaking,10,,1,gold,25,clean tables,card,5,fight rats,card,10,,,
clean tables,enter tavern,,precision,5,,5,,,,,,,,,,,
fight rats,enter tavern,,combat,1,1,10,,,,,,,,,,,
repair dummy,fight straw dummy,,crafting,15,,1,,,wood,item,5,,,,,,
explore forest,enter forest,,movement,5,,3,,,,,,,,,,,
explore further,explore forest,,movement,5,,3,,,,,,,,,,,
alchemist training,explore forest,,alchemy,10,,1,,,,,,,,,,,
gather wood,explore forest,,precision,1,,25,wood,2,power,power,5,,,,,,
build traps,explore forest,,crafting,1,,20,trap,1,wood,item,1,,,,,,
catch rabbits,explore forest,,animal handling,1,,15,rabbit,1,trap,item,1,carrot,item,1,,,
enter wolves den,explore forest,,movement,10,,1,,,,,,,,,,,
fight goblins,explore forest,talk with goblins,combat,1,2,15,gold,1,power,power,10,,,,,,
talk with goblins,explore forest,fight goblins,speaking,1,,20,,,"read ""10 phrases you might need in a goblin ambush""",card,1,,,,,,
enter elven village,explore forest,,movement,10,,1,,,fight goblins,card,1,read sound as beautiful as we look,card,1,,,
fetch spring water,explore further,,precision,10,,10,spring water,1,vial,item,1,,,,,,
travel to city,explore further,,movement,10,,1,,,,,,,,,,,
gather herbs,alchemist training,,alchemy,1,,20,herb,1,,,,,,,,,
sell herbs,alchemist training,,speaking,1,,10,gold,3,herb,item,1,,,,,,
fight twig creatures,gather wood,,combat,1,5,10,wood,1,power,power,10,,,,,,
fight animated tree,gather wood,,combat,10,40,1,wood,20,power,power,150,,,,,,
fight wood dummy,repair dummy,,combat,1,2,12,,,power,power,10,,,,,,
reinforce dummy,fight wood dummy,,crafting,10,,1,,,iron ore,item,10,,,,,,
aid fairy,fight twig creatures,kill fairy,speaking,10,,1,,,,,,,,,,,
kill fairy,fight twig creatures,aid fairy,combat,10,,1,fairy wing,2,,,,,,,,,
fight wolves,enter wolves den,tame wolves,combat,1,5,5,wolf pelt,1,power,power,30,,,,,,
tame wolves,enter wolves den,fight wolves,animal handling,5,5,5,,,rabbit,item,1,animal handling,skill,2,,,
gain blessed spring water,aid fairy,,speaking,10,,1,blessed spring water,1,spring water,item,1,,,,,,
create purification potion,aid fairy,,alchemy,50,,1,purification potion,1,blessed spring water,item,1,herb,item,5,,,
fight corrupted satyrs,aid fairy,,combat,20,80,5,,,power,power,800,,,,,,
purify spirit tree,aid fairy,,alchemy,10,,1,,,fight corrupted satyrs,card,5,purification potion,item,1,,,
fight dire wolf,fight wolves,,combat,10,15,1,dire wolf pelt,1,power,power,80,,,,,,
craft leather armor,fight wolves,,crafting,10,30,1,,,wolf pelt,item,2,,,,,,
fight goblin king,fight goblins,,combat,15,40,1,gold,50,power,power,120,fight goblins,card,15,,,
explore city,travel to city,,movement,2,,5,,,,,,,,,,,
search library,explore city,,precision,10,,1,,,,,,,,,,,
enter market,explore city,,movement,5,,1,,,,,,,,,,,
blacksmith training,explore city,,crafting,50,,1,,,gold,item,5,,,,,,
enter tournament,explore city,,movement,10,,1,,,gold,item,50,,,,,,
travel to mountains,explore city,,movement,10,,1,,,,,,,,,,,
travel to swamp,explore city,,movement,10,,1,,,,,,,,,,,
peruse books,search library,,reading,5,,4,,,,,,,,,,,
"read ""10 phrases you might need in a goblin ambush""",search library,,reading,30,,1,,,reading,skill,2,,,,,,
"read ""sound as beautiful as we look""",search library,,reading,30,,1,,,reading,skill,2,,,,,,
"read ""how to capture the heart of a dwarf""",search library,,reading,30,,1,,,reading,skill,2,,,,,,
buy elven longbow,enter elven village,,speaking,5,20,1,elven longbow,1,gold,item,10,,,,,,
archery training,enter elven village,,precision,1,1,30,,,elven longbow,item,1,,,,,,
ally of the elves,enter elven village,,speaking,10,,1,,,fight goblin king,card,1,,,,,,
craft iron arrows,buy elven longbow,,crafting,5,20,5,?? iron arrow,1,wood,item,1,iron ore,item,1,crafting,skill,1
learn ecomancy,ally of the elves,,ecomancy,1,,10,,,magic,skill,3,,,,,,
learn animal empathy,ally of the elves,,animal handling,2,,10,,,,,,,,,,,
forge moon sword,ally of the elves,,crafting,20,100,1,moon sword,1,blacksmith training,card,1,mithril,item,5,crafting,skill,3
forge mithril armor,ally of the elves,,crafting,24,80,1,mithril armor,1,enter tournament,card,1,mithril,item,5,crafting,skill,3
forge iron sword,blacksmith training,,crafting,10,20,1,iron sword,1,iron ore,item,1,,,,,,
fight giant leeches,travel to swamp,,,,,,,,,,,,,,,,
